description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
LEITE DE SOJA EM PO,100,"408,33","32,85","13,22","1,91","2,92","7,46","6,57","0,88",.,"42,13","9,18","182,41","150,64","1,37","484,31","8,94","1263,13","1003,19","0,78","2,05",.,"0,25","0,53","0,51","2,92","2,64","10,62",.,"96,38",.,"0,52",.,.,"14,92","0,61","15,99","23,42"
LEITE DE VACA DESNATADO,100,"34,15","3,39","0,08","0,05","0,02","0,00","0,00","0,00","2,01","4,98",.,"125,56","11,05","0,00","101,46","0,03","42,19","156,70","0,01","0,42","61,28","0,05","0,18","0,04","0,09",.,"0,76","0,53","5,02","1,03","0,01","0,00",.,"3,11","61,28","5,11",.
LEITE DE VACA SEMIDESNATADO,100,"42,00","3,37","0,97","0,63","0,28","0,04","0,03","0,00","5,00","4,99",.,"119,00","11,00","0,00","95,00","0,03","44,00","150,00","0,01","0,42","58,00","0,02","0,19","0,04","0,09",.,"0,76","0,44","5,00","1,30","0,01","0,04",.,"3,30","58,17","5,20",.
LEITE NAO ESPECIFICADO PASTEURIZADO,100,"60,03","3,22","3,25","1,87","0,81","0,20","0,12","0,08","10,00","4,52",.,"113,05","10,00","0,00","91,04","0,03","40,02","143,06","0,01","0,40","28,01","0,04","0,18","0,04","0,11",.,"1,36","0,44","5,00","1,00","0,06","0,12",.,"3,70","28,43","5,26",.
IOGURTE DE QUALQUER SABOR LIGHT,100,"102,00","4,37","1,08","0,70","0,30","0,03","0,02","0,01","4,00","19,05","0,30","152,00","15,00","0,07","119,00","0,07","58,00","195,00","0,08","0,74","10,00","0,04","0,18","0,04","0,10","0,70","0,51","0,47","9,00","0,01","0,02","0,03",.,"3,10","10,17","16,41","13,00"
IOGURTE DE QUALQUER SABOR DIET,100,"51,35","3,11","2,65","1,65","0,78","0,08","0,06","0,03","10,29","3,88","0,08","66,71","6,69","0,02","59,00","0,06","33,45","85,59","0,03","0,28","50,44","0,03","0,11","0,03","0,07","2,14","0,61","0,27","4,01","0,54","0,09","0,09",.,"2,11","50,88","2,91",.
MARGARINA LIGHT,100,"253,69","0,08","28,52","7,64","17,48","2,17","2,12","0,06",.,"0,27",.,"2,40","0,65","0,00","1,78","0,00","500,57","6,07","0,01","0,07","804,00",.,.,.,.,"0,04","0,02","0,03","0,36",.,"1,64","3,54",.,.,"848,67","0,32",.
LEITE DE VACA INTEGRAL ORGANICO,100,"60,03","3,22","3,25","1,87","0,81","0,20","0,12","0,08","10,00","4,52",.,"113,05","10,00","0,00","91,04","0,03","40,02","143,06","0,01","0,40","28,01","0,04","0,18","0,04","0,11",.,"1,36","0,44","5,00","1,00","0,06","0,12",.,"3,70","28,43","5,26",.
LEITE DE VACA FRESCO ORGANICO,100,"60,03","3,22","3,25","1,87","0,81","0,20","0,12","0,08","10,00","4,52",.,"113,05","10,00","0,00","91,04","0,03","40,02","143,06","0,01","0,40","28,01","0,04","0,18","0,04","0,11",.,"1,36","0,44","5,00",.,"0,06","0,12",.,"3,70","28,43","5,26",.
LEITE SEMIDESNATADO DE VACA ORGANICO,100,"42,00","3,37","0,97","0,63","0,28","0,04","0,03","0,00","5,00","4,99",.,"119,00","11,00","0,00","95,00","0,03","44,00","150,00","0,01","0,42","58,00","0,02","0,19","0,04","0,09",.,"0,76","0,44","5,00","1,30","0,01","0,04",.,"3,30","58,17","5,20",.
CREME DE LEITE ORGANICO,100,"292,00","2,17","30,91","19,34","9,09","0,88","0,62","0,27","111,00","2,96",.,"69,00","7,00","0,00","61,00","0,03","34,00","97,00","0,01","0,25","274,00","0,02","0,13","0,03","0,04","0,60","0,56","0,20","4,00","1,10","0,88","1,10",.,"0,50","279,00","2,80",.
IOGURTE DE QUALQUER SABOR ORGANICO,100,"98,69","3,46","3,47","1,98","0,86","0,22","0,13","0,08","10,59","14,62","2,13","120,93","11,52","0,03","98,07","0,09","44,78","162,44","0,02","0,44","29,65","0,05","0,20","0,04","0,14","4,15","1,47","0,47","7,00","0,06","0,08","0,12",.,"3,99","30,13","13,06","7,06"
IOGURTE DE QUALQUER SABOR DESNATADO ORGANICO,100,"95,00","4,40","0,20","0,12","0,05","0,02","0,01","0,01","2,00","19,00",.,"152,00","15,00","0,04","119,00","0,07","58,00","194,00","0,01","0,74","2,00","0,04","0,18","0,04","0,10","0,70","0,57","0,47","9,00",.,"0,06","0,01",.,"6,00","2,33","18,54","11,78"
IOGURTE NATURAL DE QUALQUER SABOR ORGANICO,100,"61,00","3,47","3,25","2,10","0,89","0,09","0,07","0,03","13,00","4,66",.,"121,00","12,00","0,00","95,00","0,05","46,00","155,00","0,01","0,59","27,00","0,03","0,14","0,03","0,08","0,50","0,41","0,37","7,00","0,04","0,09","0,07",.,"2,20","27,42","3,39",.
MUSSARELA LIGHT,100,"302,00","25,96","20,03","12,67","5,73","0,63","0,45","0,18","54,00","3,83",.,"731,00","26,00","0,01","524,00","0,25","16,00","95,00","0,03","3,13","133,00","0,10","0,33","0,08","0,12",.,"10,17","2,31","10,00","0,16","0,37","0,41",.,"16,30","136,67","0,78",.
QUEIJO MUSSARELA LIGHT,100,"302,00","25,96","20,03","12,67","5,73","0,63","0,45","0,18","54,00","3,83",.,"731,00","26,00","0,01","524,00","0,25","16,00","95,00","0,03","3,13","133,00","0,10","0,33","0,08","0,12",.,"10,17","2,31","10,00","0,16","0,37","0,41",.,"16,30","136,67","0,78",.
LEITE DE SOJA COM SABOR LIGHT,100,"53,21","2,56","1,03","0,15","0,23","0,58","0,51","0,07",.,"8,62","0,69","19,65","17,78","0,11","52,86","0,69","49,55","92,63","0,07","0,15",.,"0,02","0,07","0,08","0,90","0,20","1,49",.,"7,45",.,"0,04",.,.,"2,13","0,05","3,86","7,48"
ADES LIGHT,100,"39,37","1,99","0,82","0,12","0,18","0,47","0,41","0,06",.,"6,18","0,55","15,53","13,60","0,08","39,92","0,54","49,27","70,92","0,05","0,12",.,"0,02","0,06","0,06","0,64","0,16","1,10",.,"5,84",.,"0,03",.,.,"1,58","0,04","2,72","5,27"
CREME DE LEITE LIGHT,100,"59,00","2,60","1,40","0,84","0,38","0,05","0,03","0,02","5,00","9,00",.,"96,00","16,00","0,00","151,00",.,"144,00","206,00","0,02","0,81","12,00","0,06","0,24","0,06","0,12","0,70","0,64","0,52","4,00","0,05","0,04","0,06",.,"2,90","12,25","5,65","5,22"
QUEIJO PRATO LIGHT,100,"297,30","24,49","21,36","13,59","6,05","0,61","0,37","0,24","67,20","1,22",.,"704,84","18,04","0,01","276,48","0,44","847,57","62,81","0,02","1,99","279,12","0,02","0,24","0,05","0,05",.,"5,20","0,53","11,52","0,11","0,19","0,51",.,"8,90","283,65","1,37",.
QUEIJO DE MINAS LIGHT,100,"90,00","13,74","1,93","1,22","0,55","0,06","0,04","0,02","8,00","3,63",.,"69,00","6,00","0,00","151,00","0,16","406,00","96,00","0,03","0,42","21,00","0,02","0,19","0,08","0,14",.,"2,69","0,71","13,00","0,01","0,02","0,06",.,"10,20","21,42","3,60",.
QUEIJO DE COALHO LIGHT,100,"297,30","24,49","21,36","13,59","6,05","0,61","0,37","0,24","67,20","1,22",.,"704,84","18,04","0,01","276,48","0,44","847,57","62,81","0,02","1,99","279,12","0,02","0,24","0,05","0,05",.,"5,20","0,53","11,52","0,11","0,19","0,51",.,"8,90","283,65","1,37",.
QUEIJO RICOTA LIGHT,100,"92,69","14,56","0,29","0,18","0,08","0,01","0,01","0,00","10,40","7,08",.,"181,10","17,66","0,00","119,48","0,11","83,87","201,45","0,01","0,56","1,48","0,06","0,18","0,05","0,10","0,08","3,19","0,25","3,10",.,"0,00","0,00",.,"2,51","1,49","7,11",.
QUEIJO RALADO LIGHT,100,"265,00","20,00","20,00","13,32","6,10","0,46","0,22","0,24","88,00","1,37",.,"1109,00","38,00","0,09","729,00","0,90","1529,00","125,00","0,24","3,87","156,00","0,03","0,49","0,05","0,11",.,"4,23","2,26","10,00","0,49","0,17","0,57",.,"17,70","160,25","1,37",.
QUEIJO POLENGUINHO LIGHT,100,"231,00","10,60","17,60","11,09","4,97","0,64","0,39","0,25","56,00","7,00",.,"112,00","8,00","0,01","146,00","1,68","296,00","167,00","0,02","0,76","352,00","0,02","0,28","0,07","0,14",.,"3,51","0,60","18,00","0,58","0,15","0,50",.,"4,00","355,75","7,00",.
REQUEIJAO LIGHT,100,"231,00","10,60","17,60","11,09","4,97","0,64","0,39","0,25","56,00","7,00",.,"112,00","8,00","0,01","146,00","1,68","296,00","167,00","0,02","0,76","352,00","0,02","0,28","0,07","0,14",.,"3,51","0,60","18,00","0,58","0,15","0,50",.,"4,00","355,75","7,00",.
QUEIJO NAO ESPECIFICADO LIGHT,100,"90,00","13,74","1,93","1,22","0,55","0,06","0,04","0,02","8,00","3,63",.,"69,00","6,00","0,00","151,00","0,16","406,00","96,00","0,03","0,42","21,00","0,02","0,19","0,08","0,14",.,"2,69","0,71","13,00","0,01","0,02","0,06",.,"10,20","21,42","3,60",.
LEITE ACHOCOLATADO LIGHT,100,"63,00","3,24","1,00","0,62","0,30","0,04","0,02","0,01","3,00","10,44","0,50","115,00","13,00","0,08","103,00","0,24","61,00","170,00","0,07","0,41","58,00","0,04","0,17","0,04","0,13","0,90","0,89","0,34","5,00","1,00","0,02","0,04",.,"1,90","58,17","10,42","6,00"
BEBIDA ACHOCOLATADA LIGHT,100,"63,00","3,24","1,00","0,62","0,30","0,04","0,02","0,01","3,00","10,44","0,50","115,00","13,00","0,08","103,00","0,24","61,00","170,00","0,07","0,41","58,00","0,04","0,17","0,04","0,13","0,90","0,89","0,34","5,00","1,00","0,02","0,04",.,"1,90","58,17","10,42","6,00"
LEITE COM SABOR DIET,100,"73,29","3,48","3,51","2,01","0,90","0,21","0,14","0,07","9,59","7,09","0,39","147,69","17,76","0,08","115,69","0,17","71,79","188,49","0,09","0,97","26,86","0,05","0,21","0,11","0,14","2,36","1,45","0,46","5,66","0,96","0,07","0,11",.,"4,12","27,26","6,24",.
LEITE ACHOCOLATADO DIET,100,"73,29","3,48","3,51","2,01","0,90","0,21","0,14","0,07","9,59","7,09","0,39","147,69","17,76","0,08","115,69","0,17","71,79","188,49","0,09","0,97","26,86","0,05","0,21","0,11","0,14","2,36","1,45","0,46","5,66","0,96","0,07","0,11",.,"4,12","27,26","6,24",.
BEBIDA ACHOCOLATADA DIET,100,"73,29","3,48","3,51","2,01","0,90","0,21","0,14","0,07","9,59","7,09","0,39","147,69","17,76","0,08","115,69","0,17","71,79","188,49","0,09","0,97","26,86","0,05","0,21","0,11","0,14","2,36","1,45","0,46","5,66","0,96","0,07","0,11",.,"4,12","27,26","6,24",.
LEITE DE SOJA EM PO LIGHT,100,"379,58","32,94","2,80","0,40","0,61","1,57","1,38","0,19",.,"59,92","2,40","1576,55","37,64","0,72","318,37","6,12","622,02","656,75","0,63","1,62","789,47","0,10","0,12","0,10","0,57","32,08","7,67","3,16","71,75","13,16","10,58",.,.,"6,55","789,60","25,20","23,68"
LEITE EM PO COM SABOR,100,"405,00","3,30","3,10","1,83","1,01","0,09","0,08","0,01",.,"90,90","4,80","37,00","98,00","0,71","128,00","3,14","210,00","591,00","0,71","1,55",.,"0,03","0,15","0,01","0,51","0,70","1,26",.,"5,00",.,"0,37",.,.,"2,60",.,"75,79","79,56"
MANTEIGA COM OU SEM SAL LIGHT,100,"347,32","0,41","39,29","24,88","10,18","1,47","1,32","0,15","104,15","0,03",.,"12,65","1,21","0,00","11,63","0,01","36,64","11,63","0,01","0,04","325,03","0,00","0,02","0,00","0,02",.,"0,12","0,08","1,45","0,68","1,12","1,59",.,"0,48","449,41","0,05",.
QUEIJO DE MINAS FRESCAL ORGANICO,100,"240,00","17,60","14,10","8,85","4,13","0,41","0,27","0,15","53,00","10,60",.,"529,00","33,00","0,01","829,00","0,20","1587,00","330,00","0,03","2,36","247,00","0,07","0,48","0,08","0,18",.,"4,43","1,11","18,00","0,11","0,27","0,78",.,"12,40","253,83","10,60",.
QUEIJO DE COALHO FRESCAL ORGANICO,100,"373,00","24,48","30,28","19,07","8,75","0,90","0,64","0,26","89,00","0,68",.,"746,00","27,00","0,01","444,00","0,72","536,00","81,00","0,03","3,00","192,00","0,02","0,39","0,08","0,09",.,"5,34","0,83","18,00","0,24","0,26","0,73",.,"14,50","198,50","0,68",.
PAO DE HAMBURGUER,100,"279,00","9,50","4,33","1,09","1,11","1,97","1,76","0,21",.,"49,45","2,10","138,00","21,00","0,27","62,00","3,32","479,00","94,00","0,22","0,66",.,"0,40","0,32","0,07","4,15",.,"5,87","0,20","170,00",.,"0,07","0,69",.,"19,50",.,"6,28","6,31"
PAO DE SAL,100,"300,00","8,00","3,10","1,00","0,90","0,70","0,70","0,04",.,"58,60","2,30","16,00","25,00","0,46","95,00","1,00","648,00","142,00","0,13","0,80","3,00","0,39","0,67","0,60","2,34",.,.,.,.,.,.,"0,37",.,.,.,.,.
PAO DOCE,100,"355,23","5,15","13,08","7,88","3,53","0,66","0,60","0,05","44,09","55,83","2,02","32,49","18,08","0,44","73,44","2,09","207,79","98,68","0,11","0,50","95,85","0,31","0,26","0,04","2,40","0,05","3,47","0,11","89,84","0,38","0,39","0,42",.,"14,37","97,70","26,57","26,19"
CHINEQUE,100,"355,23","5,15","13,08","7,88","3,53","0,66","0,60","0,05","44,09","55,83","2,02","32,49","18,08","0,44","73,44","2,09","194,29","98,68","0,11","0,50","95,85","0,31","0,26","0,04","2,40","0,05","3,47","0,11","89,84","0,38","0,39","0,42",.,"14,37","97,70","26,57","26,19"
CHINEQUE COM FAROFA,100,"355,23","5,15","13,08","7,88","3,53","0,66","0,60","0,05","44,09","55,83","2,02","32,49","18,08","0,44","73,44","2,09","194,29","98,68","0,11","0,50","95,85","0,31","0,26","0,04","2,40","0,05","3,47","0,11","89,84","0,38","0,39","0,42",.,"14,37","97,70","26,57","26,19"
PAO DE MEL,100,"508,36","4,46","18,34","11,10","5,06","0,86","0,78","0,07","57,44","85,04","1,85","89,98","107,00","0,94","73,67","3,54","153,34","600,85","0,31","0,61","120,01","0,26","0,20","0,26","2,17","0,02","3,10","0,09","65,50","0,41","0,53","0,54",.,"18,83","122,32","52,88","60,40"
PANETONE,100,"355,95","7,45","10,43","1,82","2,52","5,34","4,72","0,60","50,12","58,03","2,14","19,44","15,99","0,39","96,56","2,85","210,02","139,79","0,10","0,58","19,86","0,45","0,39","0,06","3,55","0,34","5,08","0,13","136,82","0,15","0,87","0,05",.,"25,50","20,09","15,77","13,03"
BISNAGUINHA,100,"310,00","10,86","6,47","1,38","1,88","2,51","2,29","0,22","4,00","52,04","2,00","178,00","26,00","0,58","122,00","3,72","536,00","139,00","0,14","0,99","1,00","0,53","0,37","0,10","5,37","0,20","6,72","0,13","150,00",.,"0,28","0,41",.,"26,80","1,00","5,68","5,50"
CROISSANT,100,"455,16","8,04","26,26","16,07","6,86","1,27","1,15","0,11","103,66","46,84","1,75","52,94","16,93","0,37","114,31","2,70","130,47","129,95","0,09","0,65","230,61","0,45","0,41","0,06","3,44","0,06","5,10","0,28","129,58","0,83","0,82","1,00",.,"22,00","234,72","6,11","4,39"
PAO DE FORMA INDUSTRIALIZADO DE QUALQUER MARCA,100,"266,00","7,64","3,29","0,72","0,68","1,36","1,22","0,14",.,"50,61","2,40","151,00","23,00","0,48","99,00","3,74","681,00","100,00","0,25","0,74",.,"0,46","0,33","0,08","4,39",.,"5,87",.,"171,00",.,"0,22","0,63",.,"17,30",.,"4,31","4,13"
PAO DE QUEIJO,100,"363,00","5,10","24,60",.,.,.,.,.,"68,00","34,20","0,60","102,00","8,00","0,03","94,00","0,30","773,00","93,00","0,01","0,60","61,00","0,04","0,10","0,04",.,.,.,.,.,.,.,.,.,.,.,.,.
PAO DE MILHO,100,"316,62","7,20","10,43","2,96","5,28","1,37","1,27","0,08","62,83","47,96","4,38","71,00","19,82","0,22","373,82","1,86","774,22","126,11","0,06","0,62","40,59","0,31","0,30","0,11","2,28","0,07","3,72","0,32","108,25","0,41","0,27","0,83",.,"8,91","42,94","15,48","12,11"
PAO INTEGRAL,100,"247,00","12,95","3,35","0,75","1,60","0,60","0,57","0,03",.,"41,29","6,71","107,00","82,00","2,14","202,00","2,43","472,00","248,00","0,38","1,80",.,"0,35","0,22","0,21","4,71",.,"6,08",.,"50,00",.,"0,51","0,60",.,"40,30","0,17","10,08","6,76"
PAO NAO ESPECIFICADO,100,"300,00","8,00","3,10","1,00","0,90","0,70","0,70","0,04",.,"58,60","2,30","16,00","25,00","0,46","95,00","1,00","648,00","142,00","0,13","0,80","3,00","0,39","0,67","0,60","2,34",.,.,.,.,.,.,"0,37",.,.,.,.,.
TORRADA DE QUALQUER PAO,100,"377,00","10,50","3,30","0,90","0,80","1,00","0,99","0,05",.,"74,60","3,40","19,00","32,00","0,55","114,00","1,20","829,00","189,00","0,16","0,90",.,"0,38",.,.,.,.,.,.,.,.,.,"0,45",.,.,.,.,.
ROSCA DOCE,100,"422,97","4,54","20,61","8,06","7,72","2,84","2,65","0,17","31,95","55,53","1,07","66,53","10,54","0,28","75,85","1,62","175,07","74,07","0,06","0,40","53,61","0,24","0,22","0,03","1,78","0,08","2,71","0,15","64,50","0,24","1,10","3,55",.,"13,22","55,42","31,83","31,54"
ROSQUINHA DOCE,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
ROSCA SALGADA,100,"245,75","12,83","9,85","5,24","3,11","0,70","0,60","0,08","47,30","25,80","1,18","213,03","19,04","0,24","208,42","1,93","511,00","143,54","0,09","1,42","61,99","0,30","0,34","0,08","2,48","3,92","6,13","0,75","86,01","0,18","0,30","0,20",.,"19,32","70,06","1,52","0,66"
ROSQUINHA SALGADA,100,"432,00","10,10","14,40","4,40","4,60","2,90","2,79","0,01",.,"68,70","2,50","20,00","40,00",.,"148,00","2,20","854,00","181,00","0,18","1,10",.,"0,71","0,13","0,17","7,14",.,.,.,.,.,.,"1,80",.,.,.,"10,64","10,58"
BISCOITO SALGADO,100,"432,00","10,10","14,40","4,40","4,60","2,90","2,79","0,01",.,"68,70","2,50","20,00","40,00",.,"148,00","2,20","854,00","181,00","0,18","1,10",.,"0,71","0,13","0,17","7,14",.,.,.,.,.,.,"1,80",.,.,.,"10,64","10,58"
PRESUNTINHO BISCOITO,100,"508,99","8,88","25,40","5,40","8,85","9,82","9,18","0,63","0,09","60,74","2,55","31,34","18,25","0,55","92,97","3,76","833,41","96,79","0,14","0,62","0,25","0,63","0,42","0,04","4,87","0,00","6,69","0,00","173,25","0,00","5,77","0,76",.,"30,22","0,61","0,32",.
BISCOITO DE POLVILHO,100,"436,72","4,46","29,08","4,65","19,92","3,17","2,89","0,21","150,27","38,37",.,"18,28","3,56","0,01","60,96","0,57","536,68","45,01",.,"0,37","59,54","0,02","0,18","0,04","0,02",.,"0,93","0,39","15,59","0,45","4,00","0,04",.,"10,92","60,01","0,43",.
BOLACHA SALGADA,100,"432,00","10,10","14,40","4,40","4,60","2,90","2,79","0,01",.,"68,70","2,50","20,00","40,00",.,"148,00","2,20","854,00","181,00","0,18","1,10",.,"0,71","0,13","0,17","7,14",.,.,.,.,.,.,"1,80",.,.,.,"10,64","10,58"
CHIPS (SALGADINHOS),100,"558,86","5,08","35,25","5,46","7,99","20,15","17,82","2,32",.,"55,41","2,76","2,47","24,52","0,13","73,50","3,05","601,77","106,52","0,05","0,50",.,"0,43","0,29","0,14","3,72",.,"4,17",.,"85,40",.,"2,89","0,18",.,"23,70","7,50","1,17",.
BACONZITOS,100,"508,99","8,88","25,40","5,40","8,85","9,82","9,18","0,63","0,09","60,74","2,55","31,34","18,25","0,55","92,97","3,76","833,41","96,79","0,14","0,62","0,25","0,63","0,42","0,04","4,87","0,00","6,69","0,00","173,25","0,00","5,77","0,76",.,"30,22","0,61","0,32",.
BISCOITO SALGADO INTEGRAL,100,"412,43","11,49","16,07","2,54","3,50","9,03","8,01","1,02",.,"60,85","10,23","28,91","115,73","3,19","290,12","3,27","643,70","339,73","0,32","2,46",.,"0,38","0,18","0,29","5,34",.,"8,30",.,"36,89",.,"1,87","0,08",.,"65,93","0,35","0,50",.
BISCOITO DOCE,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
CAVACO CHINES,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
SEQUILHO,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
TARECO,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
SOLDA,100,"432,00","10,10","14,40","4,40","4,60","2,90","2,79","0,01",.,"68,70","2,50","20,00","40,00",.,"148,00","2,20","854,00","181,00","0,18","1,10",.,"0,71","0,13","0,17","7,14",.,.,.,.,.,.,"1,80",.,.,.,"10,64","10,58"
BREVIDADE,100,"371,22","3,18","14,61","2,74","6,61","4,29","3,94","0,30","100,29","57,71","1,06","29,07","3,74","0,15","45,40","0,38","162,40","39,93","0,02","0,30","162,63","0,02","0,13","0,03","0,02","0,03","0,67","0,28","12,67","0,30","0,71","1,91",.,"7,41","170,35","30,11","29,72"
BOLACHA DOCE,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
MARIA MALUCA (BOLACHA DOCE),100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
QUEBRA QUEBRA,100,"443,00","8,10","12,00","3,90","3,70","2,20","2,13","0,10",.,"75,20","2,10","54,00","37,00",.,"166,00","1,80","352,00","142,00","0,17","1,00",.,"1,01","0,42",.,"3,91",.,.,.,.,.,.,"1,58",.,.,.,"36,52","36,53"
ROCAMBOLE,100,"339,26","6,32","26,93","15,90","7,70","1,27","1,06","0,16","194,01","18,55","0,54","45,49","9,84","0,13","93,20","1,18","50,56","92,24","0,04","0,53","250,49","0,17","0,28","0,05","1,09","0,21","2,41","0,41","50,88","0,97","0,98","0,91",.,"15,22","254,72","4,95","3,57"
CUCA DE QUALQUER TIPO,100,"355,23","5,15","13,08","7,88","3,53","0,66","0,60","0,05","44,09","55,83","2,02","32,49","18,08","0,44","73,44","2,09","194,29","98,68","0,11","0,50","95,85","0,31","0,26","0,04","2,40","0,05","3,47","0,11","89,84","0,38","0,39","0,42",.,"14,37","97,70","26,57","26,19"
BOLO DE MILHO,100,"311,00","4,80","12,40","4,50","3,90","1,50","1,34","0,08","82,00","45,10","0,70","83,00","10,00","0,11","128,00","0,70","134,00","118,00","0,04","0,40","57,00","0,11","0,05",.,.,.,.,.,.,.,.,"1,99",.,.,.,"8,27","5,68"
AMIDOMIL (BOLINHO),100,"311,00","4,80","12,40","4,50","3,90","1,50","1,34","0,08","82,00","45,10","0,70","83,00","10,00","0,11","128,00","0,70","134,00","118,00","0,04","0,40","57,00","0,11","0,05",.,.,.,.,.,.,.,.,"1,99",.,.,.,"8,27","5,68"
ANGUSOR DE MILHO,100,"311,00","4,80","12,40","4,50","3,90","1,50","1,34","0,08","82,00","45,10","0,70","83,00","10,00","0,11","128,00","0,70","134,00","118,00","0,04","0,40","57,00","0,11","0,05",.,.,.,.,.,.,.,.,"1,99",.,.,.,"8,27","5,68"
GRUSTOLI (BOLINHO DOCE),100,"421,37","5,55","19,81","4,57","9,55","3,51","3,28","0,21","40,10","55,70","1,21","80,51","11,37","0,28","90,04","1,95","211,11","78,11","0,06","0,44","66,35","0,31","0,27","0,03","2,23","0,05","3,36","0,18","80,92","0,28","1,28","4,47",.,"16,00","68,64","26,61","26,00"
BOLO DE AIPIM,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE TAPIOCA,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE MACAXEIRA,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE GOMA,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE BATATA DOCE,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE ARROZ,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
BOLO DE CARA,100,"324,00","4,40","12,70","5,00","3,90","1,10","1,00","0,06","73,00","47,90","0,70","85,00","10,00","0,11","122,00","0,50","111,00","135,00","0,05","0,40",.,"0,13","0,07",.,.,.,.,.,.,.,.,"1,99",.,.,.,"17,62","15,81"
TORTAS DOCES DE QUALQUER SABOR,100,"119,67","2,28","5,38","1,79","2,63","0,61","0,55","0,06","3,76","15,56","0,48","51,33","9,40","0,07","51,12","0,40","148,33","81,32","0,04","0,25","10,54","0,07","0,10","0,02","0,41",.,"1,09","0,17","23,05","0,38","0,06","1,06",.,"4,52","10,69","7,47","5,55"
TORTAS SALGADAS DE QUALQUER SABOR,100,"249,55","3,87","9,86","5,19","3,27","0,43","0,35","0,08","23,27","38,40","1,49","17,95","12,00","0,15","49,97","1,17","161,34","205,70","0,10","0,53","45,79","0,11","0,10","0,09","1,18","3,52","1,93","0,21","22,90","0,14","0,27","0,42",.,"5,38","47,87","27,12","14,31"
