description,qtd_gram,kcal,protein,lipids,saturated,monoinsat,polinsat,omega_6,omega_3,colesterol,cho,fiber,calcium,mg,mn,p,iron,sodium,potassium,copper,zinco,retinol,tiamina,riboflavina,piridoxina,niacina,vitamin_c,eq_niacina,cobalamina,folato,vitamin_d,vitamin_e,trans,sodium_add,selenio,vitamin_a,sugar_total,sugar_add
CENOURA AMARELA (BATATA BAROA),100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
BATATA DOCECRU(A),100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
BATATA DOCECOZIDO(A),100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
BATATA DOCEASSADO(A),100,"90,00","2,01","0,15","0,03",.,"0,06","0,06",.,.,"20,71","3,30","38,00","27,00","0,50","54,00","0,69","36,00","475,00","0,16","0,32",.,"0,11","0,11","0,29","1,49","19,60","2,15",.,"6,00",.,"0,71",.,"148,00","0,20","960,88","6,47",.
BATATA DOCEFRITO(A),100,"351,28","4,40","12,59","1,85","2,83","7,22","6,39","0,83",.,"56,88","8,03","86,67","57,78","0,85","102,72","2,31","86,67","738,30","0,30","0,64",.,"0,18","0,15","0,53","1,73","41,09","3,22",.,"19,26",.,"4,14",.,"148,00","6,21","2526,27","18,43",.
BATATA DOCEREFOGADO(A),100,"91,74","1,37","1,92","0,29","0,41","1,09","0,97","0,12",.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"1,10",.,"148,00","1,02","787,00","5,74",.
BATATA DOCEENSOPADO,100,"91,74","1,37","1,92","0,29","0,41","1,09","0,97","0,12",.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"1,10",.,"148,00","1,02","787,00","5,74",.
BATATA DOCE,100,"76,00","1,37","0,14","0,03",.,"0,06","0,06",.,.,"17,72","2,50","27,00","18,00","0,27","32,00","0,72","27,00","230,00","0,09","0,20",.,"0,06","0,05","0,17","0,54","12,80","1,00",.,"6,00",.,"0,94",.,"148,00","0,20","787,00","5,74",.
INHAMECRU(A),100,"100,00","1,71","0,12","0,03","0,01","0,05","0,04","0,01",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,77",.,"260,00","0,60","1043,46","6,47",.
INHAMECOZIDO(A),100,"100,00","1,71","0,12","0,03","0,01","0,05","0,04","0,01",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,77",.,"260,00","0,60","1043,46","6,47",.
INHAMEASSADO(A),100,"90,00","2,01","0,15","0,03",.,"0,06","0,06",.,.,"20,71","3,30","38,00","27,00","0,50","54,00","0,69","36,00","475,00","0,16","0,32",.,"0,11","0,11","0,29","1,49","19,60","2,15",.,"6,00",.,"0,71",.,"260,00","0,20","960,88","6,47",.
INHAMEFRITO(A),100,"115,74","1,71","1,90","0,28","0,42","1,08","0,95","0,13",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,93",.,"260,00","1,42","1043,46","6,47",.
INHAMEREFOGADO(A),100,"115,74","1,71","1,90","0,28","0,42","1,08","0,95","0,13",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,93",.,"260,00","1,42","1043,46","6,47",.
INHAMEENSOPADO,100,"115,74","1,71","1,90","0,28","0,42","1,08","0,95","0,13",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,93",.,"260,00","1,42","1043,46","6,47",.
INHAMESOPA,100,"31,44","0,95","0,12","0,04","0,03","0,03","0,03","0,01",.,"7,01","0,71","8,56","6,35","0,07","15,76","0,29","310,43","88,32","0,04","0,12",.,"0,03","0,03","0,04","0,51","2,10","0,67","0,02","9,28",.,"0,20","0,00",.,"1,34","33,48","3,28","2,52"
QUICARE,100,"100,00","1,71","0,12","0,03","0,01","0,05","0,04","0,01",.,"23,40","1,80","35,00","21,00","0,67","44,00","0,54","8,00","377,00","0,18","0,30",.,"0,07","0,06","0,19","0,56","9,10","0,91",.,"22,00",.,"0,77",.,"260,00","0,60","1043,46","6,47",.
MANDIOCACRU(A),100,"125,00","0,60","0,30","0,10","0,10","0,10","0,05","0,01",.,"30,10","1,60","19,00","27,00","0,06","22,00","0,10","1,00","100,00","0,01","0,20",.,"0,06",.,"0,03",.,"11,10",.,.,.,.,.,.,"286,00",.,.,.,.
MANDIOCACOZIDO(A),100,"125,00","0,60","0,30","0,10","0,10","0,10","0,05","0,01",.,"30,10","1,60","19,00","27,00","0,06","22,00","0,10","1,00","100,00","0,01","0,20",.,"0,06",.,"0,03",.,"11,10",.,.,.,.,.,.,"286,00",.,.,.,.
MANDIOCAASSADO(A),100,"125,00","0,60","0,30","0,10","0,10","0,10","0,05","0,01",.,"30,10","1,60","19,00","27,00","0,06","22,00","0,10","1,00","100,00","0,01","0,20",.,"0,06",.,"0,03",.,"11,10",.,.,.,.,.,.,"286,00",.,.,.,.
MANDIOCAFRITO(A),100,"162,74","0,57","5,26","0,87","1,23","2,97","2,58","0,35",.,"28,60","1,52","18,05","25,65","0,06","20,90","0,10","0,95","95,00","0,01","0,19",.,"0,06",.,"0,03",.,"10,55",.,.,.,.,"0,41","0,03","286,00","2,28",.,.,.
MANDIOCAREFOGADO(A),100,"162,74","0,57","5,26","0,87","1,23","2,97","2,58","0,35",.,"28,60","1,52","18,05","25,65","0,06","20,90","0,10","0,95","95,00","0,01","0,19",.,"0,06",.,"0,03",.,"10,55",.,.,.,.,"0,41","0,03","286,00","2,28",.,.,.
MANDIOCAMOLHO VERMELHO,100,"104,80","0,74","0,28","0,09","0,09","0,09","0,05","0,01",.,"25,16","1,58","17,80","24,80","0,07","22,80","0,28","105,60","146,20","0,03","0,20",.,"0,05","0,01","0,04","0,20","10,28","0,23",.,"2,20",.,"0,28",.,"228,80","0,04","3,48","0,85",.
MANDIOCACOM MANTEIGA/OLEO,100,"154,60","0,61","4,34","2,66","1,15","0,25","0,18","0,03","10,75","28,60","1,52","19,25","25,75","0,06","22,10","0,10","29,75","96,20","0,01","0,19","33,55","0,06","0,00","0,03","0,00","10,55","0,01","0,01","0,15","0,07","0,12","0,16","286,00","0,05","34,21","0,01",.
MANDIOCAENSOPADO,100,"162,74","0,57","5,26","0,87","1,23","2,97","2,58","0,35",.,"28,60","1,52","18,05","25,65","0,06","20,90","0,10","0,95","95,00","0,01","0,19",.,"0,06",.,"0,03",.,"10,55",.,.,.,.,"0,41","0,03","286,00","2,28",.,.,.
