Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
"Lingüiça, porco, grelhada",100,"296,49","23,17","21,90","7,00","8,70","2,60","2,45","0,10","81,70","0,00",NA,"8,14","18,79","0,01","209,81","1,01","1455,86","426,60","0,07","3,48",Tr,"0,40","0,07",Tr,"6,60",
Mortadela,100,"268,82","11,95","21,65","6,12","8,12","4,68","4,41","0,28","82,76","5,82",NA,"66,55","19,14","0,11","215,67","1,47","1212,17","247,28","0,08","1,02","24,55","0,14","0,06",Tr,"3,00",
"Peru, congelado, assado",100,"163,07","26,20","5,68","1,60","1,20","1,40","1,41","0,03","91,24","0,00",NA,"13,84","11,54","0,02","197,36","0,59","627,88","175,12","0,03","1,21",Tr,"0,06",Tr,Tr,"6,23",
"Peru, congelado, cru",100,"93,72","18,08","1,83","0,40","0,40","0,70","0,69","0,03","68,16","0,00",NA,"9,88","18,84",Tr,"216,67","0,87","710,68","281,35","0,36","1,44",Tr,"0,06",Tr,Tr,"4,23",
"Porco, bisteca, crua",100,"164,12","21,50","8,02","3,50","3,90","1,20","1,17","0,05","56,38","0,00",NA,"6,11","24,07",Tr,"195,16","0,53","54,29","334,99","0,07","1,43",Tr,"0,90",Tr,Tr,"2,65",
"Porco, bisteca, frita",100,"311,17","33,75","18,52","5,97","6,58","4,56","4,14","0,34","126,30","0,00",NA,"69,15","29,13","0,01","289,87","0,82","63,03","403,51","0,07","2,16","9,74","0,34",Tr,Tr,"3,25",
"Porco, bisteca, grelhada",100,"280,08","28,89","17,38","7,50","7,70","1,20","1,06","0,03","81,68","0,00",NA,"34,31","24,74",Tr,"229,44","0,86","51,45","366,42","0,06","2,35",Tr,"0,77","0,14","0,03","1,92",
"Porco, costela, assada",100,"402,17","30,22","30,28","11,80","13,90","3,10","2,84","0,12","112,86","0,00",NA,"16,77","14,04",Tr,"200,78","1,04","62,68","245,97","0,07","3,10",Tr,"0,71","0,05",Tr,"10,63",
"Porco, costela, crua",100,"255,61","18,00","19,82","7,40","8,30","2,30","2,19","0,09","68,83","0,00",NA,"14,53","17,97",Tr,"159,08","0,90","87,98","248,23","0,05","2,27",Tr,"0,62",Tr,Tr,"8,27",
"Porco, lombo, assado",100,"210,23","35,73","6,40","2,60","2,90","0,70","0,57","0,07","103,08","0,00",NA,"19,51","18,14",Tr,"238,36","0,46","38,92","311,14","0,03","1,76",Tr,"0,75","0,07","0,11","12,43",
"Porco, lombo, cru",100,"175,63","22,60","8,77","3,30","3,70","1,00","0,93","0,04","55,39","0,00",NA,"4,16","23,92",Tr,"194,52","0,47","53,07","334,38","0,01","0,93",Tr,"0,95",Tr,Tr,"13,83",
"Porco, orelha, salgada, crua",100,"258,49","18,52","19,89","7,30","11,20","2,80","2,67","0,11","83,01","0,00",NA,"5,44","2,07","0,01","30,79","1,41","615,60","228,46","0,23","0,57",Tr,"0,07","0,03",Tr,Tr,
"Porco, pernil, assado",100,"262,26","32,13","13,86","4,80","6,40","1,90","1,77","0,05","109,80","0,00",NA,"17,59","27,35","0,01","247,09","1,25","62,41","395,19","0,09","3,25",Tr,"0,77","0,09",Tr,"6,57",
"Porco, pernil, cru",100,"186,06","20,13","11,10","4,20","5,00","1,70","1,59","0,06","58,69","0,00",NA,"12,94","22,88",Tr,"192,48","0,89","101,89","255,58","0,16","1,73",Tr,"1,06","0,06",Tr,"5,67",
"Porco, rabo, salgado, cru",100,"377,42","15,58","34,47","11,60","16,70","4,30","3,92","0,16","89,09","0,00",NA,"21,63","3,60","0,01","42,39","0,62","1157,67","23,76","0,05","1,41",Tr,"0,20","0,06",Tr,"1,43",
"Presunto, com capa de gordura",100,"127,85","14,37","6,77","1,95","2,58","1,00","0,91","0,04","39,51","1,40",NA,"12,48","17,04","0,04","273,87","0,68","1020,77","294,58","0,04","1,32",Tr,"0,62","0,03",Tr,"3,78",
"Presunto, sem capa de gordura",100,"93,74","14,29","2,71","0,86","1,13","0,46","0,42","0,01","35,77","2,15",NA,"23,27","17,51","0,04","244,06","0,83","1039,19","307,30","0,04","1,46",Tr,"0,50","0,03",Tr,"4,00",
"Quibe, assado",100,"136,23","14,59","2,68","1,23","0,95","0,27","0,25","0,02","33,73","12,86","1,90","15,62","36,08","0,76","174,37","2,15","39,89","287,78","0,51","4,12",Tr,"0,04","0,04",Tr,"1,81",Tr
"Quibe, cru",100,"109,49","12,35","1,67","0,65","0,70","0,28","0,23","0,05","26,93","10,77","1,65","12,09","25,69","0,39","125,79","1,65","38,77","241,74","0,13","2,75",Tr,"0,09","0,03",Tr,"1,20",Tr
"Quibe, frito",100,"253,83","14,89","15,80","4,58","5,03","5,00","4,58","0,41","37,77","12,34",,"21,73","38,77","0,72","165,83","1,95","835,83","322,47","0,16","2,78",Tr,"0,12","0,10",Tr,"1,50",Tr
Salame,100,"397,84","25,81","30,64","9,57","12,08","4,67","4,26","0,19","85,09","2,91",NA,"87,02","29,92","0,03","354,27","1,25","1574,17","548,00","0,05","3,15",Tr,"0,88","0,23",Tr,"12,49",
"Toucinho, cru",100,"592,53","11,48","60,26","17,70","20,10","10,10","9,47","0,68","73,08","0,00",NA,"2,39","3,57",Tr,"35,36","0,44","49,59","57,57","0,11","0,21",Tr,Tr,Tr,Tr,"5,10",
"Toucinho, frito",100,"696,56","27,28","64,31","20,00","26,20","14,60","12,93","0,92","89,46","0,00",NA,"9,44","9,46","0,01","94,72","0,87","124,85","170,86","0,10","0,84",Tr,Tr,Tr,Tr,"5,03",
Leite e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bebida láctea, pêssego",100,"55,16","2,13","1,91","1,10","0,60",Tr,"0,03","0,02","5,37","7,57","0,29","88,63","8,59",Tr,"63,10",Tr,"46,26","62,26","0,02","0,24",Tr,"0,03","0,14",Tr,"0,33","2,05"
Creme de Leite,100,"221,48","1,51","22,48","11,82","5,10","0,45","0,33","0,07","66,48","4,51",NA,"82,73","7,54","0,01","118,46","0,30","51,72","118,65","0,02","0,29","127,67",Tr,"0,10",Tr,"0,00",Tr
"Iogurte, natural",100,"51,49","4,06","3,04","1,80","0,90","0,10","0,06","0,03","13,78","1,92",NA,"143,10","11,25",Tr,"119,04",Tr,"51,62","71,28","0,02","0,44","22,50","0,04","0,22",Tr,Tr,"0,93"
"Iogurte, natural, desnatado",100,"41,49","3,83","0,32","0,20","0,10", ,Tr,,"3,33","5,77",NA,"156,96","11,98",Tr,"109,68",Tr,"59,64","182,13",Tr,"0,51",*,Tr,"0,22",Tr,Tr,"0,35"
"Iogurte, sabor abacaxi",100,*,*,*,,,,,,"5,63",*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"Iogurte, sabor morango",100,"69,57","2,71","2,33","1,40","0,70","0,10","0,05","0,02","7,49","9,69","0,22","101,03","8,04",Tr,"73,48",Tr,"37,66","52,35","0,02","0,30","27,03","0,03","0,12","0,02",Tr,Tr
"Iogurte, sabor pêssego",100,"67,85","2,53","2,34","1,40","0,60","0,10","0,04","0,02","8,40","9,43","0,72","95,05","7,96",Tr,"65,55","0,05","36,96","52,09","0,02","0,30","21,28","0,02","0,10",Tr,"0,38",Tr
"Leite, condensado",100,"312,57","7,67","6,74","4,20","1,70","0,20","0,10","0,04","27,64","57,00",NA,"246,27","21,98",Tr,"187,18","0,13","93,80","328,93","0,03","0,86","52,95","0,06","0,33","0,57",Tr,"2,14"
"Leite, de cabra",100,"66,42","3,07","3,75","2,40","0,80","0,10","0,12","0,01","13,99","5,25",NA,"112,25","9,80",Tr,"113,20","0,10","73,95","139,99","0,04","0,35","34,74",Tr,"0,14",Tr,Tr,Tr
"Leite, de vaca, achocolatado",100,"82,82","2,10","2,17","1,10","0,60","0,10","0,11","0,01","6,08","14,16","0,65","69,79","12,88","0,05","70,87","0,46","71,74","155,24","0,04","0,31","38,94","0,07","0,29","0,14","1,23","3,26"
"Leite, de vaca, desnatado, pó",100,"361,61","34,69","0,93","0,60","0,20",Tr,"0,03",Tr,"24,79","53,04",NA,"1363,17","108,71",Tr,"1673,43","0,93","431,67","1555,66","0,16","3,84","299,46","0,32","1,20",Tr,"0,81",
"Leite, de vaca, desnatado, UHT",100,*,*,*,,,,,,"3,75",*,NA,"133,81","10,23",Tr,"85,37",Tr,"51,14","140,03","0,02","0,38",Tr,"0,04","0,26",Tr,"1,49",Tr
"Leite, de vaca, integral",100,*,*,*,"1,40","0,70","0,10","0,04","0,02","10,49",*,NA,"122,58","9,64",Tr,"81,98",Tr,"63,76","133,19","0,02","0,38","20,90","0,04","0,24",Tr,"1,52",Tr
"Leite, de vaca, integral, pó",100,"496,65","25,42","26,90","16,30","7,10","0,50","0,41","0,10","85,26","39,18",NA,"890,27","77,43",Tr,"1242,28","0,52","323,20","1131,66","0,11","2,73","361,06","0,24","1,03",Tr,Tr,*
"Leite, fermentado",100,"69,62","1,89","0,10",,,,,,"1,85","15,67",NA,"71,53","6,23","0,02","62,81",Tr,"33,43","94,48","0,01","0,26",Tr,"0,08","0,11",Tr,Tr,"0,49"
"Queijo, minas, frescal",100,"264,27","17,41","20,18","11,40","5,80","0,40","0,30","0,06","62,00","3,24",NA,"579,25","6,88","0,02","123,31","0,93","31,23","104,85",Tr,"0,29","160,51",Tr,"0,25",Tr,Tr,Tr
"Queijo, minas, meia cura",100,"320,72","21,21","24,61","13,23","5,59","0,34","0,24","0,10","76,30","3,57",NA,"695,92","27,07","0,02","402,53","0,22","501,17","119,98","0,07","2,68","111,33","0,03","0,32",Tr,Tr,
"Queijo, mozarela",100,"329,87","22,65","25,18","14,23","5,95","0,50","0,31","0,08","79,58","3,05",NA,"875,04","23,57","0,03","470,00","0,31","581,36","61,89","0,08","3,52","109,00",Tr,"0,20",Tr,Tr,
"Queijo, parmesão",100,"452,96","35,55","33,53","19,70","8,70","0,40","0,32","0,11","105,84","1,66",NA,"991,97","33,37","0,05","744,62","0,53","1844,08","96,24","0,17","4,36","66,15",Tr,"0,44","0,23",Tr,Tr
"Queijo, pasteurizado",100,"303,08","9,36","27,44","15,90","7,30","0,40","0,33","0,08","82,16","5,68",NA,"323,30","16,00","0,01","577,94","0,27","780,43","193,72","0,05","1,30","57,31",Tr,"0,20",Tr,Tr,Tr
"Queijo, petit suisse, morango",100,"121,11","5,79","2,84","1,60","0,80",Tr,"0,04","0,01","12,07","18,46",NA,"730,93","26,51","0,02","448,46","0,14","412,47","121,46","0,01","2,66","272,66","0,22","0,27","0,21","2,68",Tr
"Queijo, prato",100,"359,88","22,66","29,11","16,29","6,78","0,53","0,42","0,11","90,90","1,88",NA,"939,99","28,27","0,03","460,84","0,28","579,77","73,47","0,10","3,46","122,67",Tr,"0,22",Tr,Tr,
"Queijo, requeijão, cremoso",100,"256,58","9,63","23,44","13,70","6,40","0,30","0,24","0,07","73,67","2,43",NA,"259,47","11,63","0,02","447,88","0,12","557,92","93,06","0,05","1,28","194,59",Tr,"0,19",Tr,Tr,Tr
