Descrição do alimento,Quantidade (g),Energia (kcal),Proteína (g),Lipídeos (g),Saturada (g),Monoinsat (g),Polinsat (g),ômega 6,ômega 3,Colesterol (mg),CHO (g),Fibras (g),Cálcio (mg),Mg (mg),Mn (mg),P (mg),Ferro (mg),Sódio (mg),Potássio (mg),Cobre (mg),Zinco (mg),Retinol (mcg),Tiamina (mg),Riboflavina (mg),Piridoxina (mg),Niacina (mg),Vit. C (mg)
Cereais e derivados,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arroz, integral, cozido",100,"123,53","2,59","1,00","0,30","0,40","0,30","0,31","0,01",NA,"25,81","2,75","5,20","58,70","0,63","105,85","0,26","1,24","75,15","0,02","0,68",NA,"0,08",Tr,"0,08",Tr,
"Arroz, integral, cru",100,"359,68","7,32","1,86","0,30","0,50","0,40","0,38","0,02",NA,"77,45","4,82","7,82","109,71","2,99","250,87","0,95","1,65","173,34","0,07","1,40",NA,"0,26",Tr,"0,18","4,18",
"Arroz, tipo 1, cozido",100,"128,26","2,52","0,23","0,20",Tr,Tr,"0,06",,NA,"28,06","1,56","3,54","2,25","0,30","17,95","0,08","1,20","14,67","0,02","0,49",NA,Tr,Tr,Tr,Tr,
"Arroz, tipo 1, cru",100,"357,79","7,16","0,34","0,10","0,10","0,10","0,08",Tr,NA,"78,76","1,64","4,41","30,38","1,03","104,21","0,68","1,02","62,50","0,11","1,22",NA,"0,16",Tr,"0,07","1,12",
"Arroz, tipo 2, cozido",100,"130,12","2,57","0,36","0,10","0,10","0,10","0,09",Tr,NA,"28,19","1,07","3,33","6,05","0,37","21,52","0,05","1,96","20,20","0,04","0,55",NA,Tr,Tr,Tr,Tr,
"Arroz, tipo 2, cru",100,"358,12","7,24","0,28","0,10","0,10","0,10","0,09",Tr,NA,"78,88","1,72","4,83","29,24","0,83","82,04","0,60","0,57","57,28","0,05","1,27",NA,"0,16",Tr,"0,05","0,92",
"Aveia, flocos, crua",100,"393,82","13,92","8,50","1,54","3,16","3,02","2,95","0,06",NA,"66,64","9,13","47,89","118,76","1,89","153,40","4,45","4,63","336,33","0,44","2,63",NA,"0,55","0,03",Tr,"4,47","1,35"
"Biscoito, doce, maisena",100,"442,82","8,07","11,97","3,90","3,70","2,20","2,13","0,10",NA,"75,23","2,10","54,45","37,14","0,78","166,10","1,76","352,03","141,64","0,17","1,03",NA,"1,01","0,42","0,23","3,91","6,22"
"Biscoito, doce, recheado com chocolate",100,"471,82","6,40","19,58","6,20","6,60","1,70","1,68","0,06",Tr,"70,55","2,96","27,23","47,98","0,59","139,45","2,27","239,20","232,40","0,27","0,99",Tr,"0,32","0,39","0,46","2,52","3,53"
"Biscoito, doce, recheado com morango",100,"471,17","5,72","19,57","6,10","6,50","1,70","1,61","0,06",Tr,"71,01","1,53","35,78","27,10","0,66","137,74","1,48","229,82","113,01","0,13","0,73",Tr,"0,90","0,42","0,21","1,50",Tr
"Biscoito, doce, wafer, recheado de chocolate",100,"502,46","5,56","24,67","6,50","8,10","1,90","1,84","0,09",Tr,"67,54","1,80","23,34","47,85","0,44","124,20","2,44","137,24","240,45","0,26","0,87",Tr,"0,37","0,03","0,30","1,12",Tr
"Biscoito, doce, wafer, recheado de morango",100,"513,45","4,52","26,40","6,70","8,90","1,80","1,77","0,08","1,27","67,35","0,82","13,71","18,54","0,28","73,16","1,09","119,90","74,84","0,08","0,51",Tr,"0,36",Tr,"0,94","0,37",
"Biscoito, salgado, cream cracker",100,"431,73","10,06","14,44","4,40","4,60","2,90","2,79","0,01",NA,"68,73","2,51","20,00","39,75","0,69","148,26","2,20","854,36","180,61","0,18","1,14",NA,"0,71","0,13","0,17","7,14",
"Bolo, mistura para",100,"418,63","6,16","6,13","2,10","1,89","0,81","0,78","0,03",Tr,"84,71","1,70","58,88","27,92","0,46","332,66","1,21","462,88","75,36","0,15","0,58",NA,"0,18",Tr,"1,50","1,52",Tr
"Bolo, pronto, aipim",100,"323,85","4,42","12,75","5,00","3,90","1,10","1,04","0,06","73,20","47,86","0,69","85,02","10,34","0,11","122,19","0,49","111,01","134,82","0,05","0,42",Tr,"0,13","0,07",Tr,Tr,Tr
"Bolo, pronto, chocolate",100,"410,01","6,22","18,47","5,50","6,20","3,00","2,85","0,04","76,80","54,72","1,43","74,58","27,69","0,38","196,98","2,13","283,30","211,76","0,05","0,71",Tr,"0,13","0,09","0,05",Tr,Tr
"Bolo, pronto, coco",100,"333,44","5,67","11,30","4,90","3,00","1,80","1,71","0,06","63,21","52,28","1,06","57,11","16,25","0,40","303,40","0,85","190,34","143,29","0,09","0,68",Tr,"0,15","0,06",Tr,Tr,Tr
"Bolo, pronto, milho",100,"311,39","4,80","12,42","4,50","3,90","1,50","1,38","0,08","81,69","45,11","0,71","82,58","10,25","0,11","128,20","0,65","133,81","118,43","0,04","0,44","56,89","0,11","0,05",Tr,Tr,Tr
"Canjica, branca, crua",100,"357,60","7,20","0,97","0,30","0,20","0,40","0,38","0,01",NA,"78,06","5,50","1,96","12,33","0,09","48,50","0,32","0,79","92,95","0,05","0,36",NA,Tr,Tr,Tr,Tr,Tr
"Canjica, com leite integral",100,"112,46","2,36","1,24","0,60","0,37","0,15","0,15",Tr,"1,35","23,63","1,22","42,56","5,84","0,02","40,58","0,06","27,59","69,81","0,03","0,28",Tr,Tr,"0,04",Tr,Tr,Tr
"Cereais, milho, flocos, com sal",100,"369,60","7,29","1,60","0,50","0,60","0,90","0,89","0,03",NA,"80,84","5,29","1,81","20,10",Tr,"90,77","0,52","271,74","68,66",Tr,"0,61",NA,"0,12",Tr,"0,06",Tr,Tr
"Cereais, milho, flocos, sem sal",100,"363,34","6,88","1,18","0,30","0,30","0,60","0,60","0,02",NA,"80,45","1,84","1,97","16,55",Tr,"58,36","1,69","30,97","28,70","0,24","0,33",NA,"0,05",Tr,"0,04",Tr,Tr
"Cereais, mingau, milho, infantil",100,"394,43","6,43","1,09","0,30","0,30","0,50","0,45","0,01",NA,"87,27","3,21","218,81","16,03","0,11","169,16","3,03","399,40","82,02","0,04","0,36","21,42","3,72","0,47","5,08","24,16","109,37"
"Cereais, mistura para vitamina, trigo, cevada e aveia",100,"381,13","8,90","2,12","0,50","0,40","1,00","0,93","0,06",NA,"81,62","4,98","584,25","72,27","2,28","515,04","12,64","1163,26","244,36","0,21","2,02",Tr,"0,76","0,88","1,49","7,46","13,11"
"Cereal matinal, milho",100,"365,35","7,16","0,96","0,36","0,32","0,33","0,31",Tr,NA,"83,82","4,12","142,92","10,93","0,06","100,80","3,05","654,54","83,09","0,06","7,63",NA,"0,76","1,02","2,25","11,04","17,29"
"Cereal matinal, milho, açúcar",100,"376,56","4,74","0,67","0,23","0,29","0,33","0,33",Tr,NA,"88,84","2,11","56,42","7,94","0,13","43,18","3,90","405,31","51,60","0,04","8,48",NA,"0,73","1,11","0,79","10,13","14,55"
"Creme de arroz, pó",100,"386,00","7,03","1,23","0,40","0,30","0,40","0,43","0,01",NA,"83,87","1,07","7,09","50,50","1,24","153,02","0,63","1,03","114,68","0,04","1,86",NA,"0,22",Tr,"0,05",Tr,Tr
"Creme de milho, pó",100,"333,03","4,82","1,64","0,30","0,50","0,80","0,75","0,02",NA,"86,15","3,72","323,16","30,06","0,20","303,27","4,26","593,79","165,72","0,04","0,78",NA,"0,74",Tr,"2,05",Tr,"96,34"
"Curau, milho verde",100,"78,43","2,36","1,64","0,82","0,47","0,17","0,17",Tr,"4,74","13,94","0,46","52,60","15,96","0,06","74,66","0,45","20,51","161,84","0,03","0,40","12,07","0,04","0,07",Tr,Tr,Tr
"Curau, milho verde, mistura para",100,"402,29","2,22","13,37","3,00","4,90","1,40","1,38","0,03",NA,"79,82","2,52","30,88","8,50","0,05","44,62","0,86","222,93","55,34","0,03","0,24",NA,"0,13",Tr,Tr,Tr,Tr
"Farinha, de arroz, enriquecida",100,"363,06","1,27","0,30","0,20","0,10","0,20","0,17","0,01",NA,"85,50","0,58","1,12","4,30","0,04","35,96","31,38","17,10","12,54",Tr,"8,48",NA,"3,23",Tr,"3,47","24,42","173,59"
"Farinha, de centeio, integral",100,"335,78","12,52","1,75","0,30","0,30","0,80","0,73",,NA,"73,30","15,48","33,92","120,23","3,86","339,99","4,73","41,38","333,62","0,56","2,66",NA,"0,29","0,03","0,08",Tr,Tr
"Farinha, de milho, amarela",100,"350,59","7,19","1,47","0,40","0,40","0,60","0,63","0,02",NA,"79,08","5,49","1,29","30,96",Tr,"84,22","2,25","44,93","57,85","0,27","0,60",NA,"0,25",Tr,"0,25",Tr,Tr
"Farinha, de rosca",100,"370,58","11,38","1,46","0,60","0,40","0,80","0,74","0,05",NA,"75,79","4,82","35,30","56,88","1,62","194,96","6,73","332,50","212,14","0,26","1,67",NA,"0,25",Tr,"0,09",Tr,Tr
"Farinha, de trigo",100,"360,47","9,79","1,37","0,31","0,16","0,45","0,43","0,01",NA,"75,09","2,35","17,86","31,00","0,46","114,74","0,95","0,74","151,37","0,15","0,83",NA,"0,31",Tr,Tr,"0,89",Tr
"Farinha, láctea, de cereais",100,"414,85","11,88","5,79","3,30","1,40","0,60","0,59","0,03","11,27","77,77","1,94","196,06","57,69","1,49","296,44","8,72","125,07","365,60","0,19","1,73","492,25","1,43","1,13","1,14","9,50","24,31"
"Lasanha, massa fresca, cozida",100,"163,76","5,81","1,16","0,60","0,40","0,10","0,10",,NA,"32,52","1,64","9,97","3,54","0,20","42,38","1,19","206,77","53,91","0,07","0,41",NA,"0,04",Tr,Tr,"3,96", 
"Lasanha, massa fresca, crua",100,"220,31","7,01","1,34","0,50","0,40","0,40","0,38","0,01",NA,"45,06","1,61","16,55","12,59","0,34","81,96","1,87","666,71","136,61","0,10","0,76",NA,"0,08",Tr,Tr,Tr, 
"Macarrão, instantâneo",100,"435,86","8,79","17,24",,,,,,NA,"62,43","5,61","17,63","19,37","0,25","112,15","0,80","1515,53","147,92","0,10","0,50",NA,"1,18","0,04","0,53","9,37",Tr
"Macarrão, trigo, cru",100,"371,12","10,00","1,30",,,,,,NA,"77,94","2,93","17,30","27,69","0,53","99,81","0,88","7,17","147,06","0,15","0,78",NA,"0,18","0,02",Tr,"3,57",Tr
"Macarrão, trigo, cru, com ovos",100,"370,57","10,32","1,97","0,54","0,38","0,76","0,73","0,03","17,57","76,62","2,30","19,45",Tr,"0,40","118,48","0,92","14,74","134,10","0,14","0,81",Tr,"0,11","0,05","0,03","4,37",Tr
"Milho, amido, cru",100,"361,37","0,60",Tr,,,,,,NA,"87,15","0,74","1,06","3,03","0,02","12,60","0,13","8,08","8,54","0,02","0,08",NA,Tr,Tr,Tr,Tr,Tr
"Milho, fubá, cru",100,"353,48","7,21","1,90","0,43","0,89","1,32","1,29","0,03",NA,"78,87","4,71","2,67","41,23","0,34","107,84","0,85",Tr,"168,33","0,08","1,09",NA,"0,25",Tr,Tr,"0,75",Tr
"Milho, verde, cru",100,"138,17","6,59","0,61","0,20","0,20","0,60","0,53","0,02",NA,"28,56","3,92","1,61","32,58","0,12","112,71","0,41","1,12","184,82","0,05","0,52",NA,"0,30",Tr,"0,04",Tr,Tr
"Milho, verde, enlatado, drenado",100,"97,56","3,23","2,35","0,60","0,80","0,90","0,88","0,03",NA,"17,14","4,64","2,17","20,38","0,09","61,31","0,59","260,35","162,02","0,05","0,50",NA,Tr,"0,05",Tr,"3,74","1,74"
"Mingau tradicional, pó",100,"373,42","0,58","0,37","0,10",Tr,"0,10","0,13","0,01",NA,"89,34","0,88","522,05","4,28",Tr,"273,32","41,99","14,86",Tr,Tr,"15,21","1533,24","3,41",Tr,"3,11","19,39",Tr
"Pamonha, barra para cozimento, pré-cozida",100,"171,22","2,55","4,85","0,50","0,70","1,40","1,32","0,09",NA,"30,68","2,37","4,16","15,35","0,12","54,59","0,36","131,99","125,35","0,03","0,42",NA,Tr,Tr,Tr,Tr,Tr
"Pão, aveia, forma",100,"343,09","12,35","5,69","1,10","1,00","1,60","1,06","0,59",Tr,"59,57","5,98","108,69","56,68","1,08","182,20","4,73","605,76","210,08","0,14","1,73",Tr,"0,09","0,03","0,08",Tr,Tr
"Pão, de soja",100,"308,73","11,34","3,58","0,70","0,60","1,60","1,41","0,14",NA,"56,51","5,71","90,24","48,32","0,57","153,18","3,33","662,54","296,35","0,16","1,46",NA,"0,07","0,04","0,79",Tr,Tr
"Pão, glúten, forma",100,"252,99","11,95","2,73","0,50","0,60","0,70","0,69","0,04",NA,"44,12","2,48","155,72","24,24","0,51","105,26","5,71","22,05","64,73","0,06","1,28",NA,"0,04","0,03",Tr,Tr,Tr
"Pão, milho, forma",100,"292,01","8,30","3,11","0,60","0,60","1,00","0,98","0,03","5,69","56,40","4,30","77,85","29,42","0,37","110,10","3,04","506,64","89,02","0,10","0,82",Tr,"0,08",Tr,"0,08",Tr,Tr
"Pão, trigo, forma, integral",100,"253,19","9,43","3,65","0,70","0,80","1,10","0,98","0,08",NA,"49,94","6,88","131,76","60,43","1,62","193,44","2,99","506,10","162,87","0,15","1,59",NA,"0,08","0,04","0,15",Tr,Tr
"Pão, trigo, francês",100,"299,81","7,95","3,10","1,00","0,90","0,70","0,70","0,04",NA,"58,65","2,31","15,75","25,46","0,46","94,74","1,00","647,67","142,20","0,13","0,76","2,99","0,39","0,67","0,60","2,34", 
"Pão, trigo, sovado",100,"310,96","8,40","2,84","0,80","0,70","0,70","0,68","0,04","16,56","61,45","2,43","51,62","22,22","0,31","100,66","2,27","430,79","91,17",Tr,"2,66",Tr,"0,08","0,04","0,15",Tr,Tr
"Pastel, de carne, cru",100,"288,70","10,74","8,79","3,69","2,91","1,10","1,06","0,04","18,20","42,02","1,04","16,69","17,71","0,34","117,38","1,99","1309,27","165,61","0,11","1,66",Tr,"0,06","0,03",Tr,"1,58",Tr
"Pastel, de carne, frito",100,"388,37","10,10","20,14","4,83","5,88","7,60","6,99","0,59","25,34","43,77","0,99","12,55","14,44","0,22","90,03","2,51","1039,89","155,64","0,12","1,15",Tr,"0,06","0,05",Tr,"1,83",
"Pastel, de queijo, cru",100,"308,47","9,85","9,63",,,,,,"14,35","45,95","1,11","154,70","15,81","0,24","168,12","0,99","984,57","102,58","0,10","0,97",Tr,"0,07","0,03",Tr,Tr,Tr
"Pastel, de queijo, frito",100,"422,11","8,71","22,67",,,,,,"15,00","48,13","0,94","126,13","14,74","0,20","123,81","1,34","821,38","123,75","0,10","0,76","17,58","0,09","0,04",Tr,Tr,Tr
"Pastel, massa, crua",100,"310,20","6,90","5,48","2,10","1,70","0,90","0,91","0,03",NA,"57,38","1,41","12,61","14,43","0,38","72,55","1,06","1344,20","166,68","0,11","0,61",NA,"0,15",Tr,Tr,Tr, 
"Pastel, massa, frita",100,"569,67","6,02","40,86","6,90","10,10","21,20","19,61","1,32",NA,"49,34","1,31","11,27","12,74","0,36","62,36","1,45","1174,67","142,55","0,08","0,52",NA,"0,16",Tr,Tr,Tr, 
"Pipoca, com óleo de soja, sem sal",100,"448,33","9,93","15,94","2,36","3,69","9,19","8,48","0,69",NA,"70,31","14,34","2,83","90,76","0,65","225,13","1,16","4,32","255,96","0,46","2,05",NA,"0,03","0,03",Tr,Tr,Tr
"Polenta, pré-cozida",100,"102,74","2,29","0,30",,,,,,NA,"23,31","2,40","1,09","4,43",Tr,"16,79",Tr,"441,89","99,64","0,04","0,05",NA,"0,04",Tr,Tr,Tr,Tr
"Torrada, pão francês",100,"377,42","10,52","3,30","0,90","0,80","1,00","0,99","0,05",NA,"74,56","3,40","18,74","31,60","0,55","113,92","1,24","829,49","189,49","0,16","0,91",NA,"0,38",Tr,Tr,Tr,Tr
"Verduras, hortaliças e derivados",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Abóbora, cabotian, cozida",100,"48,04","1,44","0,73","0,10","0,20","0,20","0,15","0,08",NA,"10,76","2,46","7,63","9,11","0,26","32,60","0,35","1,45","199,10","0,06","0,29",NA,"0,08",Tr,"0,07",Tr,"7,46"
"Abóbora, cabotian, crua",100,"38,60","1,75","0,54","0,12","0,08","0,05","0,04","0,01",NA,"8,36","2,17","17,96","8,82","0,11","25,77","0,37",Tr,"350,56","0,06","0,32",NA,Tr,Tr,"0,10",Tr,"5,09"
"Abóbora, menina brasileira, crua",100,"13,61","0,61",Tr,,,,,,NA,"3,30","1,17","8,74","4,09","0,01","11,62","0,15",Tr,"164,60","0,02",Tr,NA,"0,07",Tr,"0,04",Tr,"1,50"
"Abóbora, moranga, crua",100,"12,36","0,96","0,06",,,,,,NA,"2,67","1,70","3,05","1,85","0,01","7,91",Tr,Tr,"124,87","0,05","0,07",NA,Tr,Tr,"0,06",Tr,"9,65"
"Abóbora, moranga, refogada",100,"29,00","0,39","0,80","0,12","0,19","0,45","0,40","0,05",NA,"5,98","1,55","19,08","7,49","0,02","11,65","0,11","3,03","183,19","0,04","0,08",NA,"0,05",Tr,"0,05",Tr,"6,73"
"Abóbora, pescoço, crua",100,"24,47","0,67","0,12",,,,,,NA,"6,12","2,30","8,81","7,42","0,07","31,62","0,28","0,75","263,88","0,09","0,18",NA,Tr,Tr,"0,06",Tr,"2,09"
"Abobrinha, italiana, cozida",100,"15,04","1,13","0,20","0,10",Tr,"0,10","0,03","0,03",NA,"2,98","1,59","16,73","16,86","0,11","22,49","0,16","0,83","125,88","0,01","0,26",NA,"0,05",Tr,"0,06",Tr,"2,13"
"Abobrinha, italiana, crua",100,"19,28","1,14","0,14",,,,,,NA,"4,29","1,35","15,13","19,95","0,09","32,02","0,24",Tr,"253,38","0,05","0,17",NA,Tr,"0,06","0,03",Tr,"6,87"
"Abobrinha, italiana, refogada",100,"24,43","1,07","0,82","0,13","0,18","0,46","0,40","0,06",NA,"4,19","1,38","20,67","12,67","0,14","31,83","0,36","2,21","193,63","0,02","0,27",NA,"0,04",Tr,Tr,Tr,"7,53"
"Abobrinha, paulista, crua",100,"30,81","0,64","0,14",,,,,,NA,"7,87","2,61","18,67","9,39","0,11","32,75","0,17","0,50","212,87","0,10","0,18",NA,Tr,Tr,"0,03",Tr,"17,55"
"Acelga, crua",100,"20,94","1,44","0,11",,,,,,NA,"4,63","1,12","42,99","10,40","0,11","40,03","0,27","1,18","239,82","0,10","0,31",NA,"0,04",Tr,"0,16",Tr,"22,55"
"Agrião, cru",100,"16,58","2,69","0,24",,,,,,NA,"2,25","2,14","132,53","18,16","0,28","50,59","3,11","7,46","217,66","0,10","0,72",NA,"0,11","0,23","0,09","1,19","60,10"
"Aipo, cru",100,"19,09","0,76","0,07",,,,,,NA,"4,27","0,96","65,22","8,86","0,18","28,05","0,72","9,52","273,60","0,31","0,14",NA,Tr,Tr,"0,18",Tr,"5,88"
"Alface, americana, crua",100,"8,79","0,61","0,13",,,,,,NA,"1,75","1,02","14,44","5,74","0,12","19,38","0,27","7,31","136,00","0,02","0,23",NA,"0,03",Tr,"0,04",Tr,"10,96"
"Alface, crespa, crua",100,"10,68","1,35","0,16",,,,,,NA,"1,70","1,83","37,98","10,97","0,20","25,81","0,40","3,38","267,13","0,03","0,25",NA,"0,11","0,12",Tr,"1,09","15,58"
"Alface, lisa, crua",100,"13,82","1,69","0,12",,,,,,NA,"2,43","2,33","27,51","9,11","0,33","26,13","0,61","4,23","348,71","0,03","0,35",NA,"0,09","0,08","0,07","0,75","21,39"
"Alface, roxa, crua",100,"12,72","0,91","0,19",,,,,,NA,"2,49","2,01","33,83","9,31","0,12","51,13","2,48","7,12","308,44","0,04","0,23",NA,Tr,Tr,Tr,Tr,"13,47"
"Alfavaca, crua",100,"29,18","2,66","0,48","0,10",Tr,"0,20","0,04","0,16",NA,"5,24","4,14","258,50","84,24","0,15","49,74","1,26","4,55","260,72","0,15","0,71",NA,Tr,"0,12","0,56",Tr,Tr
"Alho, cru",100,"113,13","7,01","0,22",,,,,,NA,"23,91","4,32","13,56","21,29","0,24","149,09","0,80","5,36","534,89","0,15","0,82",NA,"0,18",Tr,"0,44",Tr,*
"Alho-poró, cru",100,"31,51","1,41","0,14",,,,,,NA,"6,88","2,51","33,62","10,69","0,10","36,49","0,64","1,76","224,47","0,29","24,07",NA,"0,06",Tr,"0,08","0,34","14,15"
"Almeirão, cru",100,"18,03","1,77","0,22",,,,,,NA,"3,34","2,59","19,50","21,11","0,17","39,66","0,74","2,35","369,12","0,10","0,29",NA,"0,10","0,18",Tr,"0,63","1,69"
"Almeirão, refogado",100,"65,08","1,70","4,85","0,80","1,10","2,60","2,30","0,35",NA,"5,70","3,43","63,40","17,28","0,28","30,87","1,55","14,52","315,36","0,06","0,19",NA,"0,03","0,06","0,05","4,03","1,47"
"Batata, baroa, cozida",100,"80,12","0,85","0,17",,,,,,NA,"18,95","1,76","11,85","7,58","0,22","29,48","0,42","2,10","258,33","0,15","0,38",NA,"0,06",Tr,Tr,"1,98","17,10"
"Batata, baroa, crua",100,"100,98","1,05","0,17",,,,,,NA,"23,98","2,06","17,13","11,99","0,07","45,20","0,30",Tr,"505,18","0,05","0,20",NA,"0,05",Tr,"0,12",Tr,"7,55"
"Batata, doce, cozida",100,"76,76","0,64","0,09",,,,,,NA,"18,42","2,21","17,15","11,16","0,14","15,39","0,19","2,70","148,44","0,06","0,12",NA,"0,08",Tr,"0,05","2,57","23,79"
"Batata, doce, crua",100,"118,24","1,26","0,13",,,,,,NA,"28,20","2,57","21,11","16,89","0,18","36,46","0,39","8,77","340,20","0,11","0,20",NA,"0,06",Tr,"0,10",Tr,"16,48"
"Batata, frita, tipo chips, industrializada",100,"542,73","5,58","36,62","12,90","11,90","4,00","3,85","0,09",NA,"51,22","2,46","11,60","24,24","0,23","96,50","0,70","607,40","1014,33","0,12","0,59",NA,"0,20",Tr,"0,13","2,61",Tr
"Batata, inglesa, cozida",30,"15,48","0,35",Tr,,,,,,NA,"3,58","0,40","1,06","1,63","0,02","7,30","0,06","0,69","48,40","0,02","0,06",NA,"0,02",Tr,"0,03",Tr,"1,13"
"Batata, inglesa, crua",100,"64,37","1,77",Tr,,,,,,NA,"14,69","1,16","3,55","14,58","0,10","38,54","0,36",Tr,"302,05","0,09","0,24",NA,"0,10",Tr,"0,15",Tr,"31,08"
"Batata, inglesa, frita",100,"267,16","4,97","13,11","2,10","3,40","6,60","6,29","0,30",NA,"35,64","8,06","6,28","14,11","0,15","69,67","0,44","1,91","488,94","0,10","0,38",NA,"0,17",Tr,"0,10","2,51","16,34"
"Batata, inglesa, sauté",100,"67,89","1,29","0,90","0,30","0,20","0,40","0,33","0,03",NA,"14,09","1,38","4,18","6,46","0,08","31,97","0,25","8,18","199,48","0,05","0,21",NA,"0,07",Tr,"0,09","1,38",Tr
"Berinjela, cozida",100,"18,85","0,68","0,15",,,,,,NA,"4,47","2,52","10,77","8,82","0,11","15,03","0,22","1,33","105,48","0,04","0,13",NA,"0,04",Tr,Tr,Tr,Tr
"Berinjela, crua",100,"19,63","1,22","0,10",,,,,,NA,"4,43","2,87","9,22","12,91","0,10","20,46","0,25",Tr,"204,55","0,06","0,12",NA,"0,04","0,05",Tr,Tr,"3,01"
"Beterraba, cozida",100,"32,15","1,29","0,09",,,,,,NA,"7,23","1,88","15,26","16,54","0,19","30,13","0,24","22,76","245,48","0,04","0,35",NA,"0,09",Tr,Tr,Tr,"1,24"
"Beterraba, crua",100,"48,83","1,95","0,09",,,,,,NA,"11,11","3,37","18,11","24,43","1,23","19,39","0,32","9,72","375,07","0,08","0,52",NA,"0,04",Tr,"0,04",Tr,"3,12"
"Biscoito, polvilho doce",100,"437,55","1,29","12,25","2,40","4,30","0,60","0,56",,"9,39","80,54","1,16","30,45","5,85","0,08","23,32","1,77","97,80","53,58","0,04","0,15",Tr,Tr,"0,03","0,07",Tr,Tr
"Brócolis, cozido",100,"24,64","2,13","0,46","0,10",Tr,"0,20","0,06","0,10",NA,"4,37","3,42","50,75","14,55","0,12","33,16","0,54","2,12","118,54","0,08","0,24",NA,"0,04","0,03",Tr,Tr,"42,00"
"Brócolis, cru",100,"25,50","3,64","0,27","0,14","0,06","0,19","0,07","0,12",NA,"4,03","2,88","85,87","29,57","0,26","78,46","0,61","3,33","322,11","0,06","0,48",NA,"0,12","0,18","0,08","1,39","34,28"
"Cará, cozido",100,"77,58","1,53","0,11",,,,,,NA,"18,85","2,63","5,17","14,84","0,02","27,80","0,31","1,01","203,25","0,11","0,24",NA,"0,12",Tr,"0,12",Tr,Tr
"Cará, cru",100,"95,63","2,28","0,14",,,,,,NA,"22,95","7,27","3,91","11,47","0,01","34,72","0,21",Tr,"211,67","0,06","0,18",NA,"0,11",Tr,"0,02",Tr,"8,79"
"Caruru, cru",100,"34,03","3,20","0,59","0,10",Tr,"0,30","0,09","0,17",NA,"5,97","4,47","455,30","197,44","0,89","77,26","4,46","13,67","278,98","0,37","6,03",NA,Tr,"0,10","0,11",Tr,","
"Catalonha, crua",100,"23,89","1,87","0,28","0,10",Tr,"0,10","0,04","0,10",NA,"4,75","2,05","56,80","17,30","0,34","32,00","3,08","9,39","411,79","0,27","0,48",NA,Tr,"0,03","0,36","1,54","7,33"
"Catalonha, refogada",100,"63,45","1,95","4,81","0,71","1,07","2,98","2,48","0,48",NA,"4,81","3,65","63,22","16,35","0,64","35,36","1,18","24,72","452,28","0,18","0,44",NA,"0,04",Tr,"0,03","0,60",Tr
"Cebola, crua",100,"39,42","1,71","0,08",,,,,,NA,"8,85","2,19","14,00","11,92","0,13","37,87","0,20","0,60","176,12","0,05","0,17",NA,"0,04",Tr,"0,14",Tr,"4,67"
"Cebolinha, crua",100,"19,52","1,87","0,35",,,,,,NA,"3,37","3,55","79,85","24,59","0,13","26,89","0,65","1,60","206,44","0,04","0,30",NA,"0,03","0,04","0,08",Tr,"31,78"
"Cenoura, cozida",100,"29,86","0,85","0,22",Tr,Tr,"0,10","0,12",Tr,NA,"6,69","2,63","25,62","14,48","0,05","26,74","0,09","7,88","175,51","0,02","0,23",NA,"0,07",Tr,"0,06","2,68",Tr
"Cenoura, crua",100,"34,14","1,32","0,17",,,,,,NA,"7,66","3,18","22,54","11,23","0,05","27,85","0,18","3,33","314,81","0,05","0,22",NA,Tr,Tr,"0,05",Tr,"5,12"
"Chicória, crua",100,"13,84","1,14","0,14",,,,,,NA,"2,85","2,20","44,83","14,14","0,13","13,38","0,45","13,52","424,90","0,04","0,09",NA,"0,03","0,10",Tr,"0,68","6,54"
"Chuchu, cozido",100,"18,54","0,41",Tr,,,,,,NA,"4,79","1,04","7,83","6,93","0,07","12,81","0,06","1,81","54,35",Tr,"0,09",NA,"0,03",Tr,Tr,Tr,"5,57"
"Chuchu, cru",100,"16,98","0,70","0,06",,,,,,NA,"4,14","1,28","11,51","7,23","0,08","17,74","0,17",Tr,"125,99","0,03","0,10",NA,Tr,Tr,Tr,Tr,"10,61"
"Coentro, folhas desidratadas",100,"309,07","20,88","10,39",,,,,,NA,"47,96","37,29","783,81","392,79","10,48","388,06","81,43","18,26","3222,77","4,09","4,70",NA,"0,10","0,11","0,09",Tr,"40,77"
"Couve, manteiga, crua",100,"27,06","2,87","0,55","0,12",Tr,"0,13","0,05","0,08",NA,"4,33","3,12","130,87","34,66","1,02","48,67","0,45","6,17","403,45","0,06","0,40",NA,"0,20","0,31","0,06","2,29","96,68"
"Couve, manteiga, refogada ",100,"90,34","1,67","6,59","1,00","1,60","3,60","3,16","0,38",NA,"8,71","5,74","177,33","26,20","0,12","33,41","0,50","11,45","314,89","0,02","0,19",NA,Tr,"0,05","0,07",Tr,"76,94"
"Couve-flor, crua",100,"22,56","1,91","0,21",,,,,,NA,"4,52","2,35","17,82","11,99","0,16","57,08","0,53","3,44","256,01","0,03","0,31",NA,"0,03","0,09","0,10",Tr,"36,05"
